terrain,rain,soil,tress,CO2
3,1255,3,three,1.3
4,450,4,one,3.2
1,617,2,two,2.3
2,2900,1,four,1.3
3,670,3,five,3.2
1,1011,5,three,2.4
4,313,1,one,3.1
4,675,1,two,2.3
3,1326,3,four,3.1
4,1186,2,three,1.1
3,1025,4,four,0.9
4,896,3,three,2.4
2,1667,5,six,2.7
4,3005,5,nine,1.7
3,901,3,three,1.2
3,882,3,three,4.0
3,1034,4,three,0.3
4,1094,2,two,3.8
2,3055,3,ten,4.3
1,1881,4,six,2.4
1,2739,4,eight,3.5
3,1489,2,three,2.6
4,1439,4,four,1.4
2,2818,3,twelve,1.8
4,649,2,three,2.1
4,1094,3,three,2.6
4,998,2,four,1.0
1,2739,5,seven,1.3
4,578,1,one,0.75
4,731,3,three,1.56

